Fecha;Precios del primer activo;Precios del segundo activo
Nov 13, 2018;109.97;126.9
Nov 12, 2018;110.38;126.99
Nov 09, 2018;109.45;129.65
Nov 08, 2018;107.21;129.59
Nov 07, 2018;107.49;128.67
Nov 06, 2018;106.98;125.89
Nov 05, 2018;106.87;124.03
Nov 02, 2018;105.48;128.84
Nov 01, 2018;106.03;123.78
Oct 31, 2018;104.3;122.56
Oct 30, 2018;106.23;119.24
Oct 29, 2018;102.3;117.06
Oct 26, 2018;102.31;119.68
Oct 25, 2018;104.57;121.62
Oct 24, 2018;105.21;119.58
Oct 23, 2018;104.14;122.29
Oct 22, 2018;106.4;123.02
Oct 19, 2018;110.23;123.36
Oct 18, 2018;109.48;123.85
Oct 17, 2018;108.82;123.56
Oct 16, 2018;110.07;123.76
Oct 15, 2018;110.29;120.01
Oct 12, 2018;109.14;120.24
Oct 11, 2018;108.13;117.94
Oct 10, 2018;112.94;120.68
Oct 09, 2018;114.11;124.45
Oct 08, 2018;114.27;123.5
Oct 05, 2018;113.45;125.59
Oct 04, 2018;112.39;125.94
Oct 03, 2018;112.54;126.79
Oct 02, 2018;114.61;126.87
Oct 01, 2018;113.6;128.19
Sep 28, 2018;113.64;130.14
Sep 27, 2018;112.92;128.53
Sep 26, 2018;113.07;128.74
Sep 25, 2018;112.51;129.92
Sep 24, 2018;113.98;128.96
Sep 21, 2018;116.72;128.41
Sep 20, 2018;116.77;126.09
Sep 19, 2018;116.15;124.53
Sep 18, 2018;117.07;126.61
Sep 17, 2018;117.09;126.49
Sep 14, 2018;116.45;126.76
Sep 13, 2018;116.05;126.14
Sep 12, 2018;116.31;125.47
Sep 11, 2018;115.15;126.91
Sep 10, 2018;115.7;126.61
Sep 07, 2018;115.47;126.27
Sep 06, 2018;116.05;127.08
Sep 05, 2018;115.69;126.89
Sep 04, 2018;112.71;127.64
Aug 31, 2018;114.55;127.83
Aug 30, 2018;113.4;127.01
Aug 29, 2018;114.13;128.19
Aug 28, 2018;114.32;127.3
Aug 27, 2018;114.24;126.72
Aug 24, 2018;115.34;126.13
Aug 23, 2018;115.19;124.57
Aug 22, 2018;114.95;123.9
Aug 21, 2018;115.94;123.98
Aug 20, 2018;117.1;124.47
Aug 17, 2018;118.54;122.48
Aug 16, 2018;117.25;120.81
Aug 15, 2018;115.46;119.78
Aug 14, 2018;110.18;120.5
Aug 13, 2018;110.08;120.85
Aug 10, 2018;109.15;120.51
Aug 09, 2018;110.26;120.95
Aug 08, 2018;111.17;119.33
Aug 07, 2018;113.02;120.5
Aug 06, 2018;115.6;118.73
Aug 03, 2018;115.7;117.18
Aug 02, 2018;114.38;121.02
Aug 01, 2018;111.38;120.4
Jul 31, 2018;112.88;120.8
Jul 30, 2018;107.08;119.98
Jul 27, 2018;107.11;122.94
Jul 26, 2018;107.13;124.63
Jul 25, 2018;105.45;123.54
Jul 24, 2018;105.25;120.97
Jul 23, 2018;104.54;121.52
Jul 20, 2018;103.78;121.18
Jul 19, 2018;102.66;121.68
Jul 18, 2018;103.01;122.68
Jul 17, 2018;105.56;121.94
Jul 16, 2018;104.5;120.85
Jul 13, 2018;104.71;120.27
Jul 12, 2018;104.23;120.27
Jul 11, 2018;104.22;119.82
Jul 10, 2018;103.86;118.15
Jul 09, 2018;104.25;117.81
Jul 06, 2018;105.93;117.92
Jul 05, 2018;105.86;117
Jul 03, 2018;103.7;115.42
Jul 02, 2018;104.07;116.03
Jun 29, 2018;104.44;115.89
Jun 28, 2018;103.63;116.63
Jun 27, 2018;102.51;114.93
Jun 26, 2018;102.43;115
Jun 25, 2018;102.99;115.57
Jun 22, 2018;100.1;117.22
Jun 21, 2018;99.28;116.57
Jun 20, 2018;100.78;115.49
Jun 19, 2018;101.46;115.32
Jun 18, 2018;99.88;115.02
Jun 15, 2018;102.55;114.05
Jun 14, 2018;101.17;113.43
Jun 13, 2018;102.01;112.64
Jun 12, 2018;102.64;112.3
Jun 11, 2018;102.75;111.53
Jun 08, 2018;102.39;111.32
Jun 07, 2018;100.95;111.25
Jun 06, 2018;98.9;112.59
Jun 05, 2018;98.95;111.36
Jun 04, 2018;99.48;108.96
Jun 01, 2018;99.01;108.16
May 31, 2018;98.99;106.41
May 30, 2018;103.48;108.52
May 29, 2018;102.9;108.73
May 25, 2018;103.52;109.61
May 24, 2018;102.44;109.9
May 23, 2018;102.63;109.88
May 22, 2018;102.85;108.36
May 21, 2018;102.79;107.44
May 18, 2018;101.76;105.49
May 17, 2018;102.94;105.33
May 16, 2018;102.96;106.37
May 15, 2018;102.09;107.04
May 14, 2018;102.87;106.45
May 11, 2018;102.97;107.43
May 10, 2018;101.92;107.81
May 09, 2018;101.16;104.86
May 08, 2018;99.97;106.9
May 07, 2018;101.26;106.38
May 04, 2018;101.82;107.09
May 03, 2018;100.47;106.75
May 02, 2018;99.21;106.7
May 01, 2018;101.31;107.54
Apr 30, 2018;101.63;108.88
Apr 27, 2018;102.59;109.19
Apr 26, 2018;100.8;108.88
Apr 25, 2018;100.42;108.47
Apr 24, 2018;98.55;108.69
Apr 23, 2018;96.71;108.87
Apr 20, 2018;98.19;109.61
Apr 19, 2018;101.44;109.75
Apr 18, 2018;104.57;110.45
Apr 17, 2018;104.64;109.69
Apr 16, 2018;104.84;107.97
Apr 13, 2018;103.89;106.75
Apr 12, 2018;104.21;107.39
Apr 11, 2018;105.81;106.7
Apr 10, 2018;106.47;106.62
Apr 09, 2018;106.37;103.8
Apr 06, 2018;106.6;103.08
Apr 05, 2018;107.4;105.76
Apr 04, 2018;107.28;105.15
Apr 03, 2018;105.89;104.02
Apr 02, 2018;105.12;103.61
Mar 29, 2018;108.1;104.39
Mar 28, 2018;107.44;103.06
Mar 27, 2018;105.52;105.01
Mar 26, 2018;103.62;104.87
Mar 23, 2018;102.81;103.37
Mar 22, 2018;105.5;106.27
Mar 21, 2018;106.4;108.14
Mar 20, 2018;108.09;108.44
Mar 19, 2018;109.04;107.81
Mar 16, 2018;109.96;107.88
Mar 15, 2018;108.9;107.86
Mar 14, 2018;109.03;108
Mar 13, 2018;110.88;107.76
Mar 12, 2018;110.98;107.39
Mar 09, 2018;109.88;107.63
Mar 08, 2018;109.99;107.02
Mar 07, 2018;108.72;107.38
Mar 06, 2018;109.98;106.93
Mar 05, 2018;110.1;105.83
Mar 02, 2018;109.49;104.87
Mar 01, 2018;108.47;104.89
Feb 28, 2018;107.9;104.73
Feb 27, 2018;109.29;105.19
Feb 26, 2018;111.35;105.39
Feb 23, 2018;110.56;105.3
Feb 22, 2018;109.74;103.33
Feb 21, 2018;108.9;103.58
Feb 20, 2018;111.34;104.33
Feb 16, 2018;112.94;104.49
Feb 15, 2018;112.67;104.71
Feb 14, 2018;109.66;103.61
Feb 13, 2018;109.6;100.57
Feb 12, 2018;110.58;99.94
Feb 09, 2018;108.41;97.8
Feb 08, 2018;108.65;97.42
Feb 07, 2018;109.3;101.25
Feb 06, 2018;111.04;101.38
Feb 05, 2018;108.84;99.71
Feb 02, 2018;113.05;102.48
Feb 01, 2018;114.69;97.79
Jan 31, 2018;113.82;98.13
Jan 30, 2018;115.28;98.46
Jan 29, 2018;116.45;97.85
Jan 26, 2018;118.91;97.67
Jan 25, 2018;120.08;96.37
Jan 24, 2018;116.45;94.56
Jan 23, 2018;114.64;95.46
Jan 22, 2018;113.73;96.03
Jan 19, 2018;112.35;96.49
Jan 18, 2018;112.2;96.19
Jan 17, 2018;113.49;95.98
Jan 16, 2018;111.15;94.58
Jan 12, 2018;109.91;95.28
Jan 11, 2018;109.64;92.3
Jan 10, 2018;111.83;91.14
Jan 09, 2018;113.62;90.89
Jan 08, 2018;116.18;91.58
Jan 05, 2018;114.96;90.65
Jan 04, 2018;115.21;89.44
Jan 03, 2018;113.9;88.7
Jan 02, 2018;115.83;89.34
Dec 29, 2017;117.38;89.13
Dec 28, 2017;116.96;89.36
Dec 27, 2017;118.57;89.58
Dec 26, 2017;118.01;89.45
Dec 22, 2017;117.38;89.54
Dec 21, 2017;117.01;90.39
Dec 20, 2017;117.17;90.87
Dec 19, 2017;117.29;92.03
Dec 18, 2017;116.4;93.22
Dec 15, 2017;115.29;91.9
Dec 14, 2017;114.06;90.96
Dec 13, 2017;114.2;92.17
Dec 12, 2017;113.23;91.61
Dec 11, 2017;115.27;90.59
Dec 08, 2017;116.84;90.77
Dec 07, 2017;116.5;91.05
Dec 06, 2017;117.89;89.57
Dec 05, 2017;118.56;88.95
Dec 04, 2017;118.81;91.86
Dec 01, 2017;116.3;91.27
Nov 30, 2017;115.58;92.33
Nov 29, 2017;114.98;92.39
Nov 28, 2017;113.28;92.75
Nov 27, 2017;112.68;91.13
Nov 24, 2017;112.41;90.62
Nov 22, 2017;112;90.1
Nov 21, 2017;112.91;90.71
Nov 20, 2017;111.32;90.59
Nov 17, 2017;110.33;89.23
Nov 16, 2017;110.89;89.25
Nov 15, 2017;109.47;88.68
Nov 14, 2017;110.55;89.3
Nov 13, 2017;111.38;89.65
Nov 10, 2017;110.15;89.35
Nov 09, 2017;109.33;89.88
Nov 08, 2017;109.28;90.91
Nov 07, 2017;108.02;90.37
Nov 06, 2017;106.03;90.69
Nov 03, 2017;106.92;92.47
Nov 02, 2017;107.65;88.32
Nov 01, 2017;108.14;88.85
Oct 31, 2017;108.58;88.83
Oct 30, 2017;107.38;88.67
Oct 27, 2017;108.48;89.47
Oct 26, 2017;109.62;88.58
Oct 25, 2017;108.48;88.35
Oct 24, 2017;108.13;88.53
Oct 23, 2017;108.6;88.24
Oct 20, 2017;109.48;88.3
Oct 19, 2017;111.52;87.96
Oct 18, 2017;113.2;87.41
Oct 17, 2017;114.15;87.2
Oct 16, 2017;114.09;87.67
