Fecha;Caterpillar;QUALCOMM Incorporated;Starbucks Corporation;Domino's Pizza;LATAM Airlines Group S.A.;VMware;Oracle Corporation;Microsoft Corporation;Adobe;Sony Corporation;Toyota Motor Corporation;Canon
Nov 21, 2018;123.87;55.27;66.77;259.59;9.81;149.59;48.62;103.11;225.98;50.52;119.25;28.18
Nov 20, 2018;122.27;54.92;67.18;255.22;9.26;148.4;48.33;101.71;219.73;49.53;117.29;27.99
Nov 19, 2018;125.98;54.90;67.91;252.07;9.65;153.4;49.55;104.62;219.69;50.99;117.14;28.45
Nov 16, 2018;129.96;55.88;68.16;264.62;9.7;157.01;51.17;108.29;238.89;50.81;116.96;28.59
Nov 15, 2018;129.42;55.39;67.62;259.62;9.6;157.73;50.63;107.28;239.95;51.65;117;28.42
Nov 14, 2018;125.1;53.94;67.04;266.12;9.19;152.3;48.84;104.97;235.22;51.14;116.88;28.58
Nov 13, 2018;125.96;54.16;67.05;264.71;9;150.51;49.51;106.48;238.74;51.24;115.11;28.38
Nov 12, 2018;125;54.49;67.55;269.09;8.93;148.13;49.22;106.41;236.67;51.53;115.57;28.49
Nov 09, 2018;126.91;56.72;68.23;274.35;9.35;150.82;50.61;109.1;244.84;54.07;117.24;28.67
Nov 08, 2018;131.39;58.05;68.35;273.15;9.5;151.65;50.43;111.27;249.96;54.41;117.29;28.62
Nov 07, 2018;135.1;63.21;67.8;271.47;9.55;149.45;50.26;111.48;253.43;55.26;119.31;28.74
Nov 06, 2018;129.33;63.63;65.66;263.56;9.51;143.02;49.25;107.26;240.56;53.5;117.58;28.74
Nov 05, 2018;126.41;63.47;64.14;260.26;9.68;142.94;49.02;107.05;239.89;53.32;115.41;28.61
Nov 02, 2018;125.79;63.33;63.98;265.3;9.81;141.35;48.83;105.7;239.64;53.66;115.46;28.7
Nov 01, 2018;124.7;63.71;58.32;266.05;9.85;144.64;48.59;105.46;245.28;55.66;117.7;28.92
Oct 31, 2018;121.32;62.89;57.96;268.79;9.22;141.39;48.84;106.35;245.76;54.13;117.05;28.18
Oct 30, 2018;117.46;63.18;58.28;266.23;8.94;138.64;48.57;103.28;238.41;53.43;116.24;28.71
Oct 29, 2018;113.98;62.17;58.06;256.49;8.76;136.26;47.02;103.4;239.75;51;115.31;27.99
Oct 26, 2018;115.05;62.48;57.76;261.24;9.45;138.76;47.32;106.5;245.8;52.41;117.3;28.41
Oct 25, 2018;115.63;63.20;58.65;261.77;9.09;141.61;47.96;107.83;252.92;53.48;116.66;29.08
Oct 24, 2018;112.34;62.62;57.75;255.49;8.87;139.51;46.76;101.88;238.44;53.08;114.57;30.37
Oct 23, 2018;118.98;66.38;58.5;265.82;9.1;145.41;47.99;107.64;251.76;55.07;117.97;30.93
Oct 22, 2018;128.71;66.12;58.59;267.75;8.67;146.14;47.94;109.16;251.06;55.78;117.1;31.38
Oct 19, 2018;131.32;65.36;58.35;267.75;8.9;140.46;47.59;108.19;245.03;55.67;116.32;31.47
Oct 18, 2018;134.94;65.15;58.33;266.38;9.08;145.61;47.38;108.03;250.35;56.03;116.67;31.45
Oct 17, 2018;140.44;66.10;58.78;267.69;9.39;148.16;47.86;110.23;258.91;57.9;117.73;31.52
Oct 16, 2018;142.8;66.12;57.5;259.63;9.49;148.36;48.23;110.52;260.67;57.5;118.04;31.63
Oct 15, 2018;140.9;64.17;56.45;272.94;9.26;144.04;47.12;107.14;238.01;56.25;115.63;31.01
Oct 12, 2018;141.17;64.29;56.15;277.34;9.28;147.74;47.19;109.1;248.87;55.51;116.76;30.86
Oct 11, 2018;140.08;64.29;54.57;270.88;9.29;141.49;46.59;105.45;238.59;55.52;116.75;30.53
Oct 10, 2018;142.81;66.73;55.71;274.92;9.43;143.32;47.21;105.7;237.91;56.1;117.78;30.71
Oct 09, 2018;148.51;70.13;57.4;284.18;9.71;148.86;48.67;111.78;254.16;57.97;119.92;31.31
Oct 08, 2018;152.38;70.93;56.24;280.24;10.17;151.01;49.16;110.37;254.69;57.07;121.72;31.55
Oct 05, 2018;152.34;71.21;55.46;282.91;9.63;156.54;49.15;111.65;263.22;57.23;121.5;31.46
Oct 04, 2018;155.76;72.38;55.59;281.77;9.77;155.53;49.27;112.3;263.71;57.07;122.18;31.48
Oct 03, 2018;157.22;72.64;55.17;286;9.84;154.58;49.55;114.67;270.51;58.32;122.7;31.67
Oct 02, 2018;153.84;73.35;55.29;282.28;9.73;154.53;50.03;114.65;272;59.82;125.71;32.07
Oct 01, 2018;151.32;72.60;55.28;285.52;9.11;156.17;51.59;115.11;275.49;60.58;124.82;31.99
Sep 28, 2018;151.52;72.03;56.54;294.8;9.4;156.06;51.35;113.88;269.95;60.65;124.35;31.65
Sep 27, 2018;151.5;71.71;57.03;293.45;9.78;155.83;51.48;113.92;269.91;59.53;124.61;31.61
Sep 26, 2018;152.2;71.76;56.96;289.18;9.62;155.84;51.42;113.49;268.47;59.45;125.14;31.97
Sep 25, 2018;153.11;72.74;56.6;290.79;9.48;158.06;51.51;113.96;267.84;58.53;124.88;31.75
Sep 24, 2018;153.02;73.58;56.39;288.99;9.59;153.48;51.03;114.18;264.09;56.85;124;31.53
Sep 21, 2018;155.39;73.70;57.14;286.22;9.81;152.09;50.9;113.77;260.88;57;124.72;31.68
Sep 20, 2018;155.01;74.60;56.13;282.71;9.72;153;50.23;113.08;266.34;59.1;124.95;31.67
Sep 19, 2018;151.79;74.06;55.13;279.47;9.59;150.75;49.23;111.22;264.88;59;125.32;31.68
Sep 18, 2018;148.13;74.72;54.78;281.81;9.28;153.4;48.83;112.72;270.79;59.83;125.03;31.86
Sep 17, 2018;145.29;73.24;54.28;274.6;9.55;157.01;48.98;111.66;268.25;59.29;122.48;31.14
Sep 14, 2018;143.98;75.09;54.46;280.05;9.21;162.65;49.05;112.88;274.69;59.44;122.28;30.97
Sep 13, 2018;144.62;74.61;54.6;284.84;9.11;154.6;48.76;112.42;268.52;57.76;121.96;30.34
Sep 12, 2018;143.37;71.75;54.68;284.69;8.64;154.32;49.14;111.23;267.79;57.47;119.91;30.47
Sep 11, 2018;141.13;72.51;54.83;286.07;8.51;154.04;48.72;110.76;267;56.85;119.92;30.69
Sep 10, 2018;141.15;72.32;54.68;293.21;8.62;153.79;48.66;108.91;265.37;56.68;119.18;30.64
Sep 07, 2018;140.43;70.38;54.57;293.5;8.9;151.93;47.62;107.74;260.87;56.53;119.3;30.6
Sep 06, 2018;140.67;70.36;53.92;289.97;8.75;153.83;47.52;108.27;259.75;56.36;120.19;31.01
Sep 05, 2018;139.7;70.89;53.5;289.25;8.65;151.12;47.85;108.02;256.14;55.5;120.47;31.09
Sep 04, 2018;137.36;69.98;53.24;296.03;8.67;152.77;48.39;111.23;266.68;56.18;122.01;31.45
Aug 31, 2018;137.97;68.09;53.16;297.98;9.28;153.26;48.39;111.85;263.51;56.83;124.08;32.09
Aug 30, 2018;138.18;67.53;52.82;300.09;9.35;154.66;48.19;111.47;266.43;56.68;125.26;32.01
Aug 29, 2018;140.96;68.58;52.97;300.06;9.67;150.43;48.69;111.54;268.36;57.07;127.48;32.27
Aug 28, 2018;141.1;69.15;52.77;298.85;9.41;148.5;48.44;109.79;263.04;55.77;126.07;32.09
Aug 27, 2018;141.14;66.73;52.69;297.32;9.22;150.03;49.13;109.13;262.4;56.02;126.47;31.97
Aug 24, 2018;137.33;66.54;52.47;297.38;8.93;151.37;49.06;107.93;261.51;54.54;122.84;31.52
Aug 23, 2018;135.92;66.26;52.38;288.84;8.82;154.77;48.76;107.1;257;54.41;122.26;31.53
Aug 22, 2018;138.75;66.24;52.54;290.98;9.23;154.28;48.6;106.6;255.54;54.62;123.74;31.66
Aug 21, 2018;139.1;65.95;53.71;286.82;9.06;151.68;48.22;105.52;251.5;54.42;122.57;31.55
Aug 20, 2018;137.79;65.56;53.63;284.2;9.66;151.62;48.23;106.41;249.76;54.59;123.27;31.73
Aug 17, 2018;138.46;65.46;53.27;284.49;9.6;150.88;48.17;107.12;245.7;54.87;123.28;31.83
Aug 16, 2018;135.4;65.17;52.76;287.17;9.64;151.93;47.91;107.18;248.89;53.84;122.76;31.52
Aug 15, 2018;131.18;65.09;52.47;283.64;9.6;152.04;47.65;107.2;250.52;53.71;121.85;31.46
Aug 14, 2018;134.07;64.84;52.31;286.96;9.82;152.25;48.04;108.67;256.05;54.28;123.45;31.94
Aug 13, 2018;134.16;64.25;51.53;288.04;9.69;151.94;47.82;107.33;253.54;54.17;123.5;31.69
Aug 10, 2018;135.06;64.24;51.23;290.75;9.91;153.21;48.13;108.12;253.7;54.65;124.23;32.08
Aug 09, 2018;137.64;64.49;51.64;290.89;10.07;153.76;48.35;108.78;253.8;55.39;125.45;32.25
Aug 08, 2018;138.83;64.57;51.27;286.37;10.4;152.84;48.2;108.6;253.83;54.79;127.09;32.43
Aug 07, 2018;141.48;64.85;51.43;276.92;10.79;153.06;48.29;108;253.39;55.55;128.52;32.48
Aug 06, 2018;138.6;65.14;51.43;279.6;10.93;151.38;48.47;107.25;254.11;54.46;128.45;31.84
Aug 03, 2018;137.63;64.81;51.59;278.96;11.2;149.45;48.28;107.16;253.28;54.96;131.3;32.29
Aug 02, 2018;137.14;64.19;51.05;276.22;10.92;148.07;47.71;106.7;252.22;55.28;131.05;32.11
Aug 01, 2018;137.66;63.77;51.3;269.82;11.04;144.58;47.16;105.42;248.01;55;131.63;32.06
Jul 31, 2018;142.89;63.51;51.75;262.15;11.38;144.59;47.49;105.22;244.68;54.02;131.84;32.39
Jul 30, 2018;138.86;61.48;51.27;255.92;11.24;144.42;47.54;104.51;242.32;52.34;134.98;32.21
Jul 27, 2018;141.66;62.12;51.51;260.2;11.31;148.8;48.43;106.81;254.81;53.4;134.46;32.07
Jul 26, 2018;141.68;63.01;50.82;259.5;11.61;150.78;48.67;108.73;261.93;53.66;133.33;31.71
Jul 25, 2018;139.59;58.88;50.99;261.69;11.67;151.15;48.75;109.93;263.17;53.66;132.21;32.02
Jul 24, 2018;137.1;58.32;50.54;262.56;10.98;149.2;48.47;106.79;257.49;52.67;132.58;31.77
Jul 23, 2018;135.42;58.55;50.56;271.23;10.6;150.94;48.47;107.09;259.47;53.15;131.73;31.88
Jul 20, 2018;135.95;58.08;50.29;276.64;10.79;152.25;48.33;105.41;257.54;52.95;131.8;31.73
Jul 19, 2018;138.54;58.77;50.71;276.22;10.45;152;48.25;103.55;257.68;52.63;131.77;31.69
Jul 18, 2018;139.37;58.23;50.53;283.13;10.73;153.95;48.44;104.27;259.78;53.07;132.09;31.7
Jul 17, 2018;137.23;58.38;50.65;281.5;10.6;155.11;48.7;105.09;258.31;53.63;131.45;31.8
Jul 16, 2018;136.37;57.82;50.32;278.65;10.24;155.24;48.27;104.06;254.68;53.27;129.51;31.46
Jul 13, 2018;139.01;57.86;50.99;280.86;10.26;155.05;48.25;104.57;258.59;53.31;129.51;31.61
Jul 12, 2018;137.69;57.79;49.64;278.49;10.21;155.27;47.77;103.34;254.87;52.21;129.18;31.36
Jul 11, 2018;135.07;56.78;49.53;279.12;10.09;153.59;47.26;101.15;248.12;51.96;128.06;31.57
Jul 10, 2018;139.5;57.84;49.8;271.86;10.26;155.5;46.62;101.29;248.63;51.68;129.27;31.98
Jul 09, 2018;139.22;57.52;49.29;277.73;10.23;154.83;46.36;101.02;249.77;51.61;130.7;31.87
Jul 06, 2018;133.73;57.32;48.38;278.61;10.12;157.68;45.64;100.34;248.19;49.58;129.56;31.5
Jul 05, 2018;134.13;56.86;48.02;277.2;9.82;158.05;45.05;98.95;244.18;49.06;129.07;31.7
Jul 03, 2018;132.17;54.83;48.17;279.59;10.18;160.37;44.37;98.25;242.01;50.97;127.4;31.68
Jul 02, 2018;134.6;55.67;48.46;280.46;9.72;162.02;44.59;99.2;243.26;50.94;127.93;31.98
Jun 29, 2018;133.99;55.61;48.25;281.63;9.89;146.97;43.71;97.81;243.81;51.26;128.81;32.69
Jun 28, 2018;134.34;55.40;47.95;281.55;10.11;146.12;43.49;97.83;239.81;51.7;129.09;32.35
Jun 27, 2018;132.94;54.67;49.23;280.93;9.95;142.3;43.11;96.75;237.68;50.29;127.11;32.46
Jun 26, 2018;133.86;55.94;49.76;282.56;10.32;145.89;44.06;98.28;242.25;50;129.21;32.87
Jun 25, 2018;134.89;56.54;50.04;278.97;10.5;145.08;43.93;97.59;239.68;49.53;128.57;32.55
Jun 22, 2018;138.21;57.97;50.61;291.83;10.95;150.01;43.75;99.59;243.63;50.37;131;32.8
Jun 21, 2018;137.8;58.22;50;290.2;10.99;152.03;42.76;100.32;248.83;49.22;132.66;32.31
Jun 20, 2018;141.36;58.26;51.58;287.34;11.2;152.18;42.48;101.04;251.24;49.56;134.37;32.54
Jun 19, 2018;141.52;58.17;56.73;286.84;11.48;151.25;45.9;100.04;251.74;48.24;136.15;32.63
Jun 18, 2018;146.84;58.67;56.52;281.19;11.38;151.44;46.15;100.04;255.69;48.37;136.52;32.64
Jun 15, 2018;148.16;59.32;56.41;276.81;11.62;150.46;45.91;99.32;251.82;49.12;135.81;33.01
Jun 14, 2018;151.24;58.92;56.32;273.12;11.86;150.25;45.54;100.6;258.1;49.13;135.44;33.17
Jun 13, 2018;152.79;58.69;55.52;272.5;12.07;150.79;47.89;100.03;256.13;49.82;135.41;33.19
Jun 12, 2018;155.54;59.25;55.79;272.13;11.85;148.27;48.07;100.49;252.59;49.85;134.55;33.21
Jun 11, 2018;154.36;59.39;55.79;268.71;11.79;149.3;47.81;100.23;251;50.5;137.15;33.5
Jun 08, 2018;153.4;59.72;55.91;268.98;11.66;149.64;47.8;100.8;251.21;49.96;136.21;33.38
Jun 07, 2018;154.35;60.09;56.44;270.97;11.18;150.27;47.3;100.06;247.51;49.88;136.45;33.28
Jun 06, 2018;154.57;59.30;56.47;268.57;11.73;148.98;47.37;101.66;253.95;50.18;136.17;33.33
Jun 05, 2018;151.11;58.45;55;261.6;12.02;147.52;46.76;101.36;252.7;49.31;133.46;33.34
Jun 04, 2018;150.61;58.18;56.37;254.39;12.19;142.59;46.95;100.84;253.34;49.08;134.28;33.54
Jun 01, 2018;151.62;58.08;56.21;251.86;11.8;145.93;46.98;99.97;251.31;47.67;131.31;33.24
May 31, 2018;150.03;57.60;55.98;250.49;12;137.48;46.35;98.04;249.28;47.09;127.97;33.31
May 30, 2018;153.53;57.86;56.78;250.71;12.08;138.02;46.68;98.15;247.4;47.21;127.23;33.43
May 29, 2018;151.72;57.70;56.53;244.83;12.28;136.4;45.89;97.21;242.19;46.6;126.7;33.33
May 25, 2018;153.92;58.80;57.21;249.35;12.94;136.45;46.63;97.56;243.56;46.4;129.96;33.61
May 24, 2018;155.75;57.94;56.98;251.25;12.67;136.77;46.09;97.51;245.15;46.46;132.44;33.35
May 23, 2018;155.79;57.69;56.79;248.51;13.05;138.23;46.53;97.86;243.91;46.47;134.83;33.52
May 22, 2018;154.26;56.28;56.26;247.23;13.12;136.8;46;96.71;238.79;47.06;135.74;33.41
May 21, 2018;156.95;56.60;56.64;247.39;13.04;138.69;46.84;96.81;238.1;48.39;136.45;33.51
May 18, 2018;153.78;56.40;56.46;243.9;13.12;138.99;45.95;95.58;238.09;48.6;136.04;33.52
May 17, 2018;151.79;55.85;56.5;245.58;13.41;137.51;46.17;95.4;236.85;48.8;136.67;33.49
May 16, 2018;151.89;55.61;56.45;246.37;13.62;138.58;46.36;96.36;237.39;47.82;137.35;33.56
May 15, 2018;150.7;54.57;55.95;246.13;13.45;141.1;46.44;96.11;236.6;47.51;136.22;33.55
May 14, 2018;153.36;55.65;56.43;245.17;13.71;141.25;46.45;96.81;238.37;48.34;138.14;33.86
May 11, 2018;152.94;54.17;56.57;248.93;13.98;144.04;46.45;96.49;241.88;48.08;138.07;33.97
May 10, 2018;152.06;53.91;56.95;248.74;13.92;143.9;46.56;96.7;241.15;46.88;138.39;33.97
May 09, 2018;150.72;52.15;56.34;248.93;13.53;138.57;46.21;95.74;239.74;47.31;136.29;33.83
May 08, 2018;148.07;51.84;56.67;249.42;14.09;136.5;45.58;94.62;234.56;47.39;130.9;33.98
May 07, 2018;147.96;51.99;56.45;249.51;14.15;135.82;45.71;95.03;230.99;47.44;131.51;33.97
May 04, 2018;144.56;51.48;56.68;247.26;14.22;134.35;45.35;93.98;228.51;47.57;131.32;33.7
May 03, 2018;142;49.34;55.16;244.86;14.31;132.87;44.7;92.9;226.05;47.1;130.11;33.45
May 02, 2018;142.08;49.29;55.72;243.32;14.56;132.49;45.15;92.35;221.1;46.66;130.18;33.46
May 01, 2018;142.63;49.84;57.12;246.71;14.86;133.22;45.59;93.82;224.08;46.35;130.97;33.66
Apr 30, 2018;142.57;50.03;56.57;240.78;15.18;133.26;45.31;92.36;221.6;45.83;130.98;33.57
Apr 27, 2018;142.93;50.13;57.35;247.44;15.21;133.05;45.17;94.63;221.9;45.5;131.01;33.69
Apr 26, 2018;144.5;49.50;58.35;249.62;15.02;132.41;45.6;93.09;221.91;50.18;131.61;33.95
Apr 25, 2018;143.39;48.79;56.71;232.61;15.14;131.62;45.39;91.17;217.32;49.58;131.1;33.74
Apr 24, 2018;142.65;48.98;56.81;230.91;15.34;133.96;45.17;91.97;217.89;49.39;129.47;34.73
Apr 23, 2018;152.08;49.56;57.15;238.54;15.32;135.02;45.44;94.17;225.3;49.41;129.07;34.94
Apr 20, 2018;151.35;50.45;56.99;237.99;15.43;136.05;45.86;93.82;225.24;49.76;129.23;35.27
Apr 19, 2018;153;51.56;58.19;239.74;15.78;135.59;46.45;94.92;227.62;49.73;128.49;35.24
Apr 18, 2018;153.25;54.17;58.47;237.25;16.13;137.54;46.71;95.24;231.1;50.46;129.07;35.5
Apr 17, 2018;150.65;54.28;58.79;236.23;15.54;131.88;46.29;94.88;231.16;49.77;129.34;35.66
Apr 16, 2018;149.5;53.71;58.4;231.44;15.5;127.76;45.69;93;226.52;49.35;128.82;35.37
